Username	Machine	Creation_date
bn10ejf	ARC3	2017-07-18 12:03:59.0
bn11ke	ARC1	2016-09-28 10:10:11.0
bn11ke	ARC2	2016-09-28 10:10:17.0
bn12aaa	ARC1	2016-10-06 13:03:42.0
bn12aaa	ARC2	2016-10-06 13:03:46.0
bn12aaa	ARC3	2017-03-30 12:42:30.0
bn13apy	ARC2	2017-10-10 17:28:02.0
bn13apy	ARC3	2017-10-10 17:27:57.0
bn13car	ARC1	2016-02-16 10:30:17.15
bn13car	ARC2	2016-02-16 10:30:20.03
bn13car	MARC1	2016-03-14 16:14:05.34
bn13jmlv	ARC1	2016-09-20 10:30:06.0
bn13jmlv	ARC2	2016-09-20 10:30:09.0
bn13ukd	ARC1	2016-02-29 11:21:04.273
bn13ukd	ARC2	2016-02-29 11:21:09.813
bn13ukd	ARC3	2017-09-20 11:41:51.0
bn14a5b	ARC1	2016-05-11 09:20:45.0
bn14a5b	ARC2	2016-05-11 09:20:51.0
bn14a5b	ARC3	2017-09-07 14:31:07.0
bn14cmc	ARC1	2016-11-16 10:19:46.34
bn14cmc	ARC2	2016-11-16 10:19:54.847
bn14jec	ARC2	2017-02-17 09:46:58.43
bn14jec	ARC3	2018-05-11 13:31:10.0
bn14m5c	ARC2	2017-07-25 14:53:40.0
bn14m5c	ARC3	2017-07-25 14:53:43.0
bnnswf	ARC2	2017-06-28 13:27:07.0
bnnswf	ARC3	2017-06-28 13:27:03.0
bnnswf	MARC1	2017-08-10 14:31:15.0
bnra	ARC2	2017-10-02 11:42:37.0
bnra	ARC3	2017-10-02 11:42:45.0
bnujg	ARC1	2016-01-26 16:09:04.77
bnujg	ARC2	2016-01-26 16:09:11.353
bnyz	ARC1	2016-02-16 17:37:27.253
bnyz	ARC2	2016-02-16 17:37:33.15
bs06lw	ARC1	2010-02-10 12:39:25.92
bs07jw	ARC1	2010-10-05 12:50:21.0
bs07mfk	ARC1	2010-12-07 14:34:12.9
bs08d2s	ARC1	2013-09-13 15:20:19.0
bs08j2c	ARC1	2014-10-09 07:58:33.0
bs08j2c	ARC2	2014-10-09 07:58:36.0
bs08j2c	MARC1	2015-10-21 12:46:18.0
bs09s2k	ARC1	2011-11-01 14:01:30.813
bs09s3h	ARC1	2013-01-18 17:28:27.227
bs09s3h	ARC2	2015-11-12 16:34:40.83
bs10d2h	ARC1	2015-03-13 11:56:39.853
bs10d2h	ARC2	2015-03-13 11:56:43.59
bs10d2h	ARC3	2017-02-23 10:12:04.79
bs10g3c	ARC1	2015-02-04 12:33:42.073
bs10g3c	ARC2	2015-02-04 12:33:46.7
bs10g3c	ARC3	2017-09-21 14:57:57.0
bs10k4m	ARC2	2017-10-27 16:54:56.0
bs10k4m	ARC3	2017-10-27 16:55:00.0
bs10nm	ARC1	2013-07-18 08:39:54.0
bs11bttb	ARC1	2016-12-13 08:13:48.317
bs11bttb	ARC2	2016-12-13 08:13:52.503
bs11bttb	ARC3	2017-05-08 15:04:39.0
bs11kd	ARC1	2012-05-18 15:01:05.0
bs11nh	ARC2	2017-03-15 15:47:27.687
bs11nh	ARC3	2017-03-15 15:47:22.193
bs11rb	ARC1	2014-11-24 09:57:10.403
bs11rb	ARC2	2014-11-24 09:57:13.957
bs11t2r	ARC2	2017-06-28 13:18:52.0
bs11t2r	ARC3	2017-06-28 13:18:47.0
bs11t2r	MARC1	2017-06-29 15:17:56.0
bs12b2g	ARC1	2016-10-03 17:41:47.0
bs12b2g	ARC2	2016-10-03 17:41:54.0
bs12fnza	ARC1	2014-01-20 12:49:02.347
bs12fnza	ARC2	2015-05-07 12:47:55.0
bs12fnza	MARC1	2015-11-26 11:09:41.377
bs12g2p	ARC2	2018-02-14 14:52:03.153
bs12g2p	ARC3	2018-02-14 14:52:09.117
bs12hjsc	ARC2	2017-06-02 10:02:03.0
bs12hjsc	ARC3	2017-06-02 10:02:07.0
bs12jj	ARC1	2015-10-30 08:31:27.68
bs12jj	ARC2	2015-10-30 08:31:33.273
bs12tmd	MARC1	2017-01-17 11:47:54.627
bs13etb	ARC2	2017-10-06 13:28:32.0
bs13etb	ARC3	2017-10-06 13:28:27.0
bs13etb	MARC1	2017-10-06 10:38:41.0
bs14aomh	ARC2	2018-07-13 08:11:07.0
bs14aomh	ARC3	2018-07-13 08:11:10.0
bs14aomh	MARC1	2018-07-13 08:12:13.0
bs15e2h	ARC2	2017-10-04 16:17:13.0
bs15e2h	ARC3	2017-10-04 16:17:09.0
bs15e2h	MARC1	2017-10-04 16:18:20.0
bs15krb	MARC1	2016-04-11 11:03:42.0
bs16aaa	ARC2	2017-06-28 13:27:25.0
bs16aaa	ARC3	2017-06-28 13:27:21.0
bs16gn	ARC2	2017-10-30 14:36:12.58
bs16gn	ARC3	2017-10-30 14:36:15.66
bs16gn	MARC1	2017-11-13 11:23:04.513
bsad	ARC1	2016-10-04 17:01:36.0
bsad	ARC2	2016-10-04 17:01:44.0
bsad	ARC3	2017-10-23 16:20:44.0
bsad	MARC1	2017-10-23 16:26:15.0
bsal	ARC1	2015-07-27 09:02:11.0
bsal	ARC2	2015-07-27 09:02:14.0
bsasta	ARC1	2016-09-21 09:30:06.0
bsasta	ARC2	2016-09-21 09:30:12.0
bsasta	ARC3	2017-09-26 16:09:03.0
bsasta	MARC1	2016-09-21 17:44:08.0
bsavgs	ARC2	2018-04-20 16:55:00.0
bsavgs	ARC3	2018-04-20 16:55:07.0
bscb	ARC1	2016-08-23 14:33:52.0
bscb	ARC2	2016-08-23 14:33:55.0
bscb	ARC3	2017-04-28 16:55:21.0
bscb	MARC1	2017-05-24 14:46:12.0
bscgs	ARC2	2017-04-11 12:52:15.0
bscgs	ARC3	2017-04-11 12:52:19.0
bscs	ARC1	2012-02-14 13:29:20.683
bsdn	ARC2	2017-10-16 13:53:35.0
bsdn	ARC3	2017-10-16 13:53:40.0
bsdo	ARC2	2017-10-05 16:24:33.0
bsdo	ARC3	2017-10-05 16:24:27.0
bsdo	MARC1	2017-10-06 11:46:23.0
bsdpk	ARC2	2017-10-16 13:52:52.0
bsdpk	ARC3	2017-10-16 13:52:59.0
bseec	ARC1	2016-12-06 16:09:11.693
bseec	ARC2	2016-12-05 13:03:33.74
bseec	ARC3	2017-03-21 11:02:32.433
