Username	Machine	Username_status	lapse_date	status	Dept	Faculty
scssaq	ARC1	d	2014-01-14 00:00:00.0	P/G	SCS	Faculty of Engineering
scssbe	ARC1	d	2013-10-01 07:37:13.0	Staff	MEC	Faculty of Medicine & Health
scssw	ARC1	d	2012-01-03 10:29:25.597	Staff	SCS	Faculty of Engineering
scstr	ARC1	l	2017-06-16 14:58:30.0	Staff	SCS	Faculty of Engineering
scstr	ARC2	a	n/a	Staff	SCS	Faculty of Engineering
scstr	MARC1	a	n/a	Staff	SCS	Faculty of Engineering
scsw	ARC2	a	n/a	P/G	SCS	Faculty of Engineering
scsw	ARC1	l	2017-06-16 14:58:30.0	P/G	SCS	Faculty of Engineering
scsyc	MARC1	a	n/a	Staff	SCS	Faculty of Engineering
scsyc	ARC3	a	n/a	Staff	SCS	Faculty of Engineering
scsyc	ARC2	a	n/a	Staff	SCS	Faculty of Engineering
scsyml	ARC1	l	2017-06-16 14:58:30.0	Staff	SCS	Faculty of Engineering
scsyml	ARC2	l	2017-10-02 08:48:22.0	Staff	SCS	Faculty of Engineering
scsys	ARC1	d	2013-04-24 11:28:46.0	Staff	SCS	Faculty of Engineering
scts	ARC1	d	2017-02-21 00:00:00.0	Recent Alumni	SCS	Faculty of Engineering
scts	ARC2	d	2017-02-21 00:00:00.0	Recent Alumni	SCS	Faculty of Engineering
scwb	ARC2	a	n/a	P/G	SCS	Faculty of Engineering
scwb	ARC3	a	n/a	P/G	SCS	Faculty of Engineering
scwca	ARC2	a	n/a	P/G	SCS	Faculty of Engineering
scwca	ARC3	a	n/a	P/G	SCS	Faculty of Engineering
scxo	ARC1	l	2017-06-16 14:58:30.0	P/G	SCS	Faculty of Engineering
scxo	MARC1	a	n/a	P/G	SCS	Faculty of Engineering
scxo	ARC3	a	n/a	P/G	SCS	Faculty of Engineering
scxo	ARC2	a	n/a	P/G	SCS	Faculty of Engineering
scywa	ARC3	a	n/a	P/G	SCS	Faculty of Engineering
scywa	ARC2	a	n/a	P/G	SCS	Faculty of Engineering
scywa	ARC1	l	2017-06-16 14:58:30.0	P/G	SCS	Faculty of Engineering
smlbb	ARC3	a	n/a	Staff	SML	Faculty of Arts
smlbb	ARC2	a	n/a	Staff	SML	Faculty of Arts
smlbb	ARC1	l	2017-06-16 14:58:31.0	Staff	SML	Faculty of Arts
smlmar	ARC2	d	2016-10-12 11:56:00.0	Staff	SML	Faculty of Arts
smlmar	ARC1	d	2016-10-12 11:56:00.0	Staff	SML	Faculty of Arts
smlss	ARC3	a	n/a	Staff	SML	Faculty of Arts
smlss	MARC1	a	n/a	Staff	SML	Faculty of Arts
smlss	ARC2	a	n/a	Staff	SML	Faculty of Arts
smlss	ARC1	l	2017-06-16 14:58:31.0	Staff	SML	Faculty of Arts
sta6th	ARC1	l	2017-06-16 14:58:31.0	Staff	UIT	Corporate Services
sta6th	ARC2	a	n/a	Staff	UIT	Corporate Services
sta6th	ARC3	a	n/a	Staff	UIT	Corporate Services
stahl	MARC1	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
stajpg	ARC2	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
stajpg	ARC3	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
stajv	ARC2	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
stajv	ARC3	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
stamg	ARC3	a	n/a	Staff	MAT	Faculty of Maths & Physical Sciences
stamg	ARC2	a	n/a	Staff	MAT	Faculty of Maths & Physical Sciences
stamjgv	MARC1	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
starma	MARC1	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
swsvalde	ARC2	a	n/a	Project	EAR	Faculty of Environment
swsvalde	ARC3	a	n/a	Project	EAR	Faculty of Environment
swsvalde	ARC1	l	2018-01-17 11:46:49.577	Project	EAR	Faculty of Environment
texdjb	ARC1	l	2017-06-16 14:58:31.0	Staff	CEN	Faculty of Engineering
texdjb	ARC3	a	n/a	Staff	CEN	Faculty of Engineering
