Username	Machine	Username_status	lapse_date	status	Dept	Faculty
prcyli	ARC2	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
prcyli	ARC3	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
pre4k2h	ARC1	d	2014-06-02 00:00:00.0	P/G	MEN	Faculty of Engineering
pre5m2a	ARC1	d	2015-09-23 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pre5m2b	ARC1	l	2017-06-16 14:58:28.0	P/G	PRE	Faculty of Engineering
prealo	ARC2	a	n/a	Staff	PRE	Faculty of Engineering
prealo	ARC1	l	2017-06-16 14:58:28.0	Staff	PRE	Faculty of Engineering
preapi	ARC2	a	n/a	Staff	PRE	Faculty of Engineering
preapi	ARC3	a	n/a	Staff	PRE	Faculty of Engineering
preapr	ARC2	d	2014-12-01 10:41:06.59	Staff	PRE	Faculty of Engineering
preapr	ARC1	d	2014-12-01 10:41:06.617	Staff	PRE	Faculty of Engineering
prearp	ARC3	a	n/a	Staff	PRE	Faculty of Engineering
prearp	ARC2	a	n/a	Staff	PRE	Faculty of Engineering
prebli	ARC3	l	2017-09-14 11:55:09.0	Staff	PRE	Faculty of Engineering
prebli	ARC2	l	2017-09-14 11:55:09.0	Staff	PRE	Faculty of Engineering
prebli	ARC1	l	2017-06-16 14:58:28.0	Staff	PRE	Faculty of Engineering
precse	ARC2	d	2015-12-16 10:31:06.24	Staff	PRE	Faculty of Engineering
precse	ARC1	d	2015-12-16 10:31:06.21	Staff	PRE	Faculty of Engineering
